"eventID","latitude","longitude","EP_PlotID","day_of_year","plant_height","total_biomass","panicle","biomass_dry","reproductive_allocation_ratio","n_capsules","n_umbel","n_inflorescences"
"Schorfheide_Chorin",53.0226,13.7838,"SEG30",155,166.5,32.1,NA,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG30",158,156,30.14,20,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG30",158,156.5,74.92,53,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG31",158,138.5,31.74,27,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG31",158,167.5,87.3,49,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG31",155,154.5,23.18,15,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG31",160,145.5,6.6,8,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG31",160,169,41.16,29,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG31",160,147.5,7.35,6,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG31",160,143,16.22,15,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG31",160,150.5,32.6,23,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG31",160,177,53.29,34,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG31",158,142,69.79,57,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG32",160,152.5,37.21,30,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG32",155,147.5,42.81,37,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG32",158,124.5,69.72,61,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG32",155,144.5,28.52,21,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG32",NA,36,1.55,NA,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG32",NA,105,NA,NA,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG32",160,173.5,50.51,34,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG32",160,169.5,67.11,35,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG32",155,163,79.08,36,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG32",160,154,27.19,23,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG37",155,161.5,66.31,48,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG37",160,152.5,21.06,15,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG37",155,162,35.07,26,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG37",160,146,33.77,38,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG37",158,158.5,27.93,21,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG37",158,151,34.19,37,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG37",158,169,25.38,16,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG37",155,146.5,4.51,4,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG37",160,158.5,63.8,40,NA,NA,NA,NA,NA
"Schorfheide_Chorin",53.0226,13.7838,"SEG37",158,161,12.34,12,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG7",160,169,21.97,14,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG7",162,117.5,5.52,2,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG7",162,101,5.96,4,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG7",160,166,43.61,26,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG7",160,134,3.03,4,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG7",158,154.5,67.05,45,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG7",160,163.5,32.6,19,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG7",162,138.5,11.4,11,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG7",160,134,11.86,16,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG11",155,170.5,60.32,32,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG11",155,136,7.52,8,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG11",162,132,12.34,10,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG11",158,148.5,37.43,31,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG11",160,144,17,14,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG11",162,116,10.25,5,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG11",162,127,18.36,8,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG11",158,170.5,24.63,14,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG11",160,149,16.27,11,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG16",160,158,59.44,33,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG16",160,137,26.67,31,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG16",160,121,4.28,1,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG17",158,155,30.72,20,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG17",155,163,24.22,23,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG17",160,152.5,17.93,17,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG17",158,139.5,24.39,20,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG17",155,137.5,11.48,9,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG17",160,149.5,28.92,28,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG17",155,178,33.45,28,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG17",160,146.5,17.87,17,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG17",160,149.5,22.92,17,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG17",155,154,23.8,15,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG19",160,158,95.75,62,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG19",160,145,18.53,12,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG19",158,145.5,41.28,31,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG19",160,158,12.66,9,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG19",155,149,32.7,18,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG19",160,126.5,4.25,3,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG19",158,156,24.57,16,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG19",160,166,44.43,31,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG19",155,159,25.41,20,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG19",158,154,21.41,16,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG21",160,138,2.91,3,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG21",162,145.5,10.15,7,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG21",160,179,22.45,13,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG21",162,142.5,12.18,12,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG21",158,173,27.89,18,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG21",160,139,21.76,26,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG21",160,140,9.54,7,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG21",160,173,4.74,3,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG21",162,124,10.87,9,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG21",160,155,2.3,1,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG26",158,150.5,18.35,14,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG26",158,158,16.15,9,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG26",160,137.5,24.04,20,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG26",158,155.5,58.19,42,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG27",160,65.5,1.22,2,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG27",160,152.5,16.45,16,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG27",162,101,6.13,4,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG27",158,166,73.18,58,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG27",162,116.5,3.78,1,NA,NA,NA,NA,NA
"Hainich_Dün",51.1025,10.3822,"HEG27",160,134,15.91,15,NA,NA,NA,NA,NA
